planta,IE,Tratamiento
1,0.8,Ctrl
2,0.66,Ctrl
3,0.65,Ctrl
4,0.87,Ctrl
5,0.63,Ctrl
6,0.94,Ctrl
7,0.78,Ctrl
8,0.71,Ctrl
9,0.7,Ctrl
10,0.71,Ctrl
11,0.76,Ctrl
12,0.93,Ctrl
13,0.55,Ctrl
14,0.7,Ctrl
15,0.95,Ctrl
16,0.78,Ctrl
17,0.9,Ctrl
18,0.79,Ctrl
19,0.63,Ctrl
20,0.91,Ctrl
21,0.77,Ctrl
22,0.56,Fert
23,0.67,Fert
24,0.65,Fert
25,0.69,Fert
26,1.04,Fert
27,0.95,Fert
28,0.74,Fert
29,1.1,Fert
30,0.91,Fert
31,1.09,Fert
32,0.79,Fert
33,0.9,Fert
34,1.15,Fert
35,1.04,Fert
36,1,Fert
37,0.88,Fert
38,1.15,Fert
39,0.88,Fert
40,0.78,Fert
41,1.16,Fert
42,0.91,Fert
