Nr,Num_sitio,Sp,Diametro_cm
1,1,Eucalipto,13.3
2,1,Eucalipto,17.2
3,1,Eucalipto,24.5
4,1,Eucalipto,15.1
5,1,Eucalipto,19.3
6,1,Eucalipto,9
7,1,Eucalipto,16.4
8,1,Eucalipto,16.5
9,1,Eucalipto,11
10,1,Eucalipto,5.1
11,1,Eucalipto,16.7
12,1,Eucalipto,17.7
13,1,Eucalipto,22
14,1,Eucalipto,20.1
15,1,Eucalipto,19.1
16,1,Eucalipto,19.7
17,1,Eucalipto,14.2
18,1,Eucalipto,15
19,1,Eucalipto,8.2
20,1,Eucalipto,12.2
21,1,Eucalipto,12.1
22,1,Eucalipto,18
23,1,Eucalipto,11.9
24,1,Eucalipto,11.5
25,1,Eucalipto,8
26,1,Eucalipto,9.5
27,1,Eucalipto,25
28,1,Eucalipto,9.4
29,1,Eucalipto,11.5
30,1,Eucalipto,11.5
31,1,Eucalipto,12
32,1,Eucalipto,13.5
33,1,Eucalipto,16.2
34,1,Eucalipto,16.9
35,1,Eucalipto,20
36,1,Eucalipto,14.2
37,1,Eucalipto,13.2
38,1,Eucalipto,28.8
39,1,Eucalipto,20.8
40,1,Eucalipto,30.4
41,1,Eucalipto,5
42,1,Eucalipto,42.7
43,1,Eucalipto,2.2
44,1,Eucalipto,8.5
45,1,Eucalipto,15.4
46,1,Eucalipto,22.9
47,1,Eucalipto,17.1
48,1,Eucalipto,21.4
49,1,Eucalipto,12.8
50,1,Eucalipto,10.9
51,2,Eucalipto,14.5
52,2,Eucalipto,15.3
53,2,Eucalipto,7
54,2,Eucalipto,43.5
55,2,Eucalipto,4
56,2,Eucalipto,24.5
57,2,Eucalipto,20
58,2,Eucalipto,42.3
59,2,Eucalipto,19.8
60,2,Eucalipto,32.8
61,2,Eucalipto,27.5
62,2,Eucalipto,22.4
63,2,Eucalipto,23
64,2,Eucalipto,37.3
65,2,Eucalipto,37
66,2,Eucalipto,31
67,2,Eucalipto,13.5
68,2,Eucalipto,26.8
69,2,Eucalipto,4
70,2,Eucalipto,28
71,2,Eucalipto,22
72,2,Eucalipto,33
73,2,Eucalipto,16
74,2,Eucalipto,22.1
75,2,Eucalipto,5
76,2,Eucalipto,36.5
77,2,Eucalipto,19.5
78,2,Eucalipto,15.3
79,2,Eucalipto,28.4
80,2,Eucalipto,16.3
81,2,Eucalipto,12.7
82,2,Eucalipto,26.6
83,2,Eucalipto,23.3
84,2,Eucalipto,20.4
85,2,Eucalipto,16.6
86,2,Eucalipto,16.3
87,2,Eucalipto,18.7
88,2,Eucalipto,24.1
89,2,Eucalipto,23.6
90,2,Eucalipto,20
91,2,Eucalipto,36.8
92,2,Eucalipto,14.6
93,2,Eucalipto,14.7
94,2,Eucalipto,25.7
95,2,Eucalipto,5.4
96,2,Eucalipto,8.8
97,2,Eucalipto,12.2
98,2,Eucalipto,8.9
99,2,Eucalipto,7.7
100,2,Eucalipto,12.2
101,3,Fresno,13.8
102,3,Fresno,16.2
103,3,Fresno,10.7
104,3,Fresno,10
105,3,Fresno,7.1
106,3,Fresno,6.9
107,3,Fresno,7.3
108,3,Fresno,8.1
109,3,Fresno,3.9
110,3,Fresno,4.9
111,3,Fresno,6.4
112,3,Fresno,5.6
113,3,Fresno,8.5
114,3,Fresno,12.3
115,3,Fresno,5.7
116,3,Fresno,5.5
117,3,Fresno,8.6
118,3,Fresno,12.4
119,3,Fresno,7.7
120,3,Fresno,9.7
121,3,Fresno,8.2
122,3,Fresno,7
123,3,Fresno,7.6
124,3,Fresno,5.7
125,3,Fresno,6.4
126,3,Fresno,5.5
127,3,Fresno,8.9
128,3,Fresno,14.7
129,3,Fresno,7.9
130,3,Fresno,10.9
131,3,Fresno,23.8
132,3,Fresno,5.2
133,3,Fresno,8.9
134,3,Fresno,9
135,3,Fresno,11
136,3,Fresno,4.9
137,3,Fresno,6.5
138,3,Fresno,7
139,3,Fresno,7.2
140,3,Fresno,7.2
141,3,Fresno,8.2
142,3,Fresno,5
143,3,Fresno,7.5
144,3,Fresno,7.7
145,3,Fresno,7
146,3,Fresno,4.3
147,3,Fresno,8.3
148,3,Fresno,9.8
149,3,Fresno,12.3
150,3,Fresno,10.9
151,3,Fresno,8.8
152,3,Fresno,10.3
153,3,Fresno,7.2
154,3,Fresno,6.9
155,3,Fresno,7.3
156,3,Fresno,7.6
157,3,Fresno,5.2
158,3,Fresno,12.9
159,3,Fresno,6
160,3,Fresno,7.1
161,3,Fresno,6.3
162,3,Fresno,14.3
163,3,Fresno,6.4
164,3,Fresno,14.9
165,3,Fresno,4.8
166,3,Fresno,10.6
167,3,Fresno,10.4
168,3,Fresno,7.7
169,3,Fresno,5.6
170,3,Fresno,5.4
171,3,Fresno,9.2
172,3,Fresno,5
173,3,Fresno,9.8
174,3,Fresno,9.2
175,3,Fresno,10.4
176,3,Fresno,8.6
177,3,Fresno,4.9
178,3,Fresno,4.3
179,3,Fresno,4.1
180,3,Fresno,12.4
181,3,Fresno,4.3
182,3,Fresno,7.5
183,3,Fresno,7.6
184,3,Fresno,7.5
185,3,Fresno,9.5
186,3,Fresno,5.2
187,3,Fresno,8.3
188,3,Fresno,7.5
189,3,Fresno,8.8
190,3,Fresno,6.9
191,3,Fresno,6
192,3,Fresno,4.9
193,3,Fresno,10.1
194,3,Fresno,10.2
195,3,Fresno,11.2
196,3,Fresno,10.8
197,3,Fresno,9.7
198,3,Fresno,8.5
199,3,Fresno,9.3
200,3,Fresno,12.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
