Nr,Sp,Peso_gr,Arbol
1,Chp,7.11,1
2,Chp,7.6,1
3,Chp,7.72,1
4,Chp,7.37,1
5,Chp,7.37,1
6,Chp,6.85,1
7,Chp,7.3,1
8,Chp,7.34,1
9,Chp,7.12,1
10,Chp,6.8,1
11,Chp,7.12,1
12,Chp,7.18,1
13,Chp,6.88,1
14,Chp,6.78,1
15,Chp,7.02,1
16,Chp,7.14,1
17,Chp,7.03,1
18,Chp,7.08,1
19,Chp,6.81,1
20,Chp,7.03,1
21,Chp,6.81,1
22,Chp,6.86,1
23,Chp,7.54,1
24,Chp,6.87,1
25,Chp,6.86,1
26,Chp,8.39,2
27,Chp,8.12,2
28,Chp,8.51,2
29,Chp,8.06,2
30,Chp,8.4,2
31,Chp,8.37,2
32,Chp,9.13,2
33,Chp,8.77,2
34,Chp,7.96,2
35,Chp,8.33,2
36,Chp,8.48,2
37,Chp,8.65,2
38,Chp,9.04,2
39,Chp,8.26,2
40,Chp,8.39,2
41,Chp,8.43,2
42,Chp,8.97,2
43,Chp,8.15,2
44,Chp,8.15,2
45,Chp,8.37,2
46,Chp,8.74,2
47,Chp,8.29,2
48,Chp,8.19,2
49,Chp,8.91,2
50,Chp,8.44,2
51,Chp,6.26,3
52,Chp,7,3
53,Chp,6.22,3
54,Chp,6.25,3
55,Chp,6.9,3
56,Chp,6.91,3
57,Chp,5.54,3
58,Chp,6.31,3
59,Chp,6.41,3
60,Chp,6.55,3
61,Chp,7.11,3
62,Chp,6.63,3
63,Chp,6.54,3
64,Chp,6.48,3
65,Chp,6.66,3
66,Chp,6.43,3
67,Chp,7.29,3
68,Chp,6.37,3
69,Chp,6.51,3
70,Chp,6.78,3
71,Chp,6.24,3
72,Chp,6.51,3
73,Chp,6.45,3
74,Chp,7.46,3
75,Chp,7.09,3
76,Chp,7.37,4
77,Chp,7.33,4
78,Chp,6.79,4
79,Chp,7.01,4
80,Chp,7.04,4
81,Chp,6.66,4
82,Chp,6.97,4
83,Chp,6.78,4
84,Chp,6.88,4
85,Chp,6.86,4
86,Chp,6.63,4
87,Chp,7.14,4
88,Chp,6.87,4
89,Chp,6.65,4
90,Chp,7.2,4
91,Chp,6.88,4
92,Chp,6.79,4
93,Chp,6.86,4
94,Chp,7,4
95,Chp,6.83,4
96,Chp,6.88,4
97,Chp,7.99,4
98,Chp,6.55,4
99,Chp,6.91,4
100,Chp,6.58,4
101,Chp,7.59,5
102,Chp,7.75,5
103,Chp,7.8,5
104,Chp,7.68,5
105,Chp,7.79,5
106,Chp,7.71,5
107,Chp,7.51,5
108,Chp,8,5
109,Chp,7.64,5
110,Chp,7.66,5
111,Chp,7.67,5
112,Chp,7.53,5
113,Chp,7.66,5
114,Chp,7.7,5
115,Chp,7.89,5
116,Chp,7.91,5
117,Chp,7.8,5
118,Chp,7.9,5
119,Chp,7.54,5
120,Chp,7.64,5
121,Chp,7.75,5
122,Chp,7.86,5
123,Chp,7.51,5
124,Chp,7.5,5
125,Chp,8,5
126,Bar,7.67,1
127,Bar,7.42,1
128,Bar,7.59,1
129,Bar,7.3,1
130,Bar,7.38,1
131,Bar,6.92,1
132,Bar,7.71,1
133,Bar,7.45,1
134,Bar,7.95,1
135,Bar,7.18,1
136,Bar,7.64,1
137,Bar,7.55,1
138,Bar,7.04,1
