Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,
1,ER,6.08,22.56,17.49,
2,ER,5.07,24.83,18.29,
3,ER,5.83,24.7,18.74,
4,ER,5.13,24.62,17.93,
5,ER,4.73,22.98,17.75,
6,ER,5.40,24.53,18.72,
7,ER,5.06,23.26,18.56,
8,ER,4.61,24.24,17.34,
9,ER,4.30,24.18,18.04,
10,ER,5.36,24.67,18.89,
11,ER,5.93,25.43,19.05,
12,ER,4.88,26.96,16.64,
13,ER,2.95,23.94,13.74,
14,ER,4.96,25.11,17.8,
15,ER,4.30,24.46,16.39,
16,ER,5.22,24.88,18.78,
17,ER,4.99,23.79,17.52,
18,ER,3.96,24.63,16.04,
19,ER,5.52,25.5,18.71,
20,ER,4.70,24.07,17.49,
21,ER,5.33,24.07,18.49,
22,ER,4.75,24.11,18.05,
23,ER,4.76,23.83,17.62,
24,ER,5.77,24.75,18.8,
25,ER,5.04,23.24,18.76,
26,ER,4.51,24.36,16.47,
27,ER,5.43,24.48,18.35,
28,ER,5.68,24.78,18.86,
29,ER,5.30,23.85,18.91,
30,ER,5.85,26.13,18.6,
31,ER,4.42,23.76,16.45,
32,ER,5.38,24.58,18.23,
33,ER,4.96,23.45,17.75,
34,ER,4.81,24.11,17.84,
35,ER,4.18,22.81,17.78,
36,ER,3.98,24.81,16.31,
37,ER,4.84,24.89,17.46,
38,ER,4.34,24.88,16.83,
39,ER,5.22,26.11,18.11,
40,ER,5.08,24.01,18.09,
41,ER,4.48,24.58,16.84,
42,ER,5.58,23.47,19.37,
43,ER,3.5,22.78,15.8,
44,ER,4.96,24.07,18.13,
45,ER,5.57,25.67,18.53,
46,ER,5.37,23.89,18.88,
47,ER,4.58,24.26,17.33,
48,ER,2.93,21.69,14.52,
49,ER,3.96,23.69,16.72,
50,ER,5.10,25.98,18.52,
51,ER,5.72,24.96,19.21,
52,ER,4.35,22.76,17.16,
53,ER,4.48,25.83,17.29,
54,ER,4.82,24.86,17.09,
55,ER,4.88,24.87,17.11,
56,ER,4.57,24.34,17.2,
57,ER,5.34,25.29,18.39,
58,ER,3.52,21.2,16.16,
59,ER,4.55,23.78,17.18,
60,ER,4.45,24.59,18.01,
61,ER,4.44,23.56,17.7,
62,ER,4.75,24.75,17.22,
63,ER,4.80,24.1,17.89,
64,ER,3.95,24.35,15.9,
65,ER,5.17,23.65,18.56,
66,ER,4.77,23.24,18.24,
67,ER,5.25,25.62,18.69,
68,ER,4.87,22.5,18.2,
69,ER,5.66,24.12,19.62,
70,ER,5.34,25.85,18.17,
71,ER,5.39,24.38,18.9,
72,ER,3.43,21.68,16.32,
73,ER,5.20,24.08,18.76,
74,ER,4.26,24.6,16.91,
75,ER,4.85,25.22,18.68,
76,ER,3.60,22.62,16.33,
77,ER,3.72,22.51,17.14,
78,ER,4.62,25.48,17.58,
79,ER,3.56,23.89,16.23,
80,ER,4.02,23.86,17.43,
81,ER,4.45,25.84,17.52,
82,ER,4.51,24.08,18.08,
83,ER,4.15,24.99,17.11,
84,ER,4.41,23.67,18.52,
85,ER,4.15,23.84,16.99,
86,ER,3.32,22.03,16.31,
87,ER,4.30,25.19,17.33,
88,ER,3.93,23.92,17.21,
89,ER,3.62,24.2,16.14,
90,ER,4.52,22.99,18.6,
91,ER,4.75,25.47,18.23,
92,ER,4.31,22.84,17.07,
93,ER,4.31,25.91,17.74,
94,ER,4.08,23.97,16.91,
95,ER,3.29,22.94,16.53,
96,ER,3.35,22.05,15.81,
97,ER,3.74,23.7,16.9,
98,ER,5.16,24.9,18.89,
99,ER,5.12,22.09,18.62,
100,ER,3.94,23.48,17.93,
101,ER,3.47,24.36,15.98,
102,ER,4.80,25.26,17.71,
103,ER,3.96,24.11,16.2,
104,ER,4.74,24.08,17.32,
105,ER,4.00,25.29,17.08,
106,ER,4.63,24.68,18.45,
107,ER,4.62,24.57,17.38,
108,ER,3.96,23.9,17.79,
109,ER,4.24,25.47,17.59,
110,ER,4.92,25.3,17.31,
111,ER,4.24,27.49,16.23,
112,ER,3.62,24.47,17.39,
113,ER,3.75,23.24,17.18,
114,ER,3.18,24.38,15.41,
115,ER,4.21,24.15,16.96,
116,ER,2.22,19.98,13.65,
117,ER,4.42,23.11,18.42,
118,ER,4.66,24.36,17.71,
119,ER,4.72,25.45,17.92,
120,ER,3.90,25.18,17.38,
121,ER,4.36,24.4,17.56,
122,ER,3.84,23,16.84,
123,ER,4.71,25.09,17.53,
124,ER,5.05,24.88,18.13,
125,ER,5.09,25.26,18.75,
126,ER,4.03,23.96,16.43,
127,ER,3.44,23.86,16.58,
128,ER,2.64,22.66,14.15,
129,ER,3.70,24.79,16.35,
130,ER,5.06,25.86,17.6,
131,ER,3.37,23.44,16.73,
132,ER,4.38,25.33,16.83,
133,ER,4.13,24.73,17.64,
134,ER,4.50,25.13,17.02,
135,ER,5.36,25.44,18.68,
136,ER,4.79,25.11,17.12,
137,ER,4.11,24.06,16.73,
138,ER,4.22,26.04,16.7,
139,ER,5.43,24.44,18.64,
140,ER,2.77,23.75,15.11,
141,ER,4.34,26.07,17.42,
142,ER,4.51,24.38,17.56,
143,ER,5.42,24.7,18.81,
144,ER,5.96,26.49,17.54,
145,ER,5.60,25.72,18.78,
146,ER,4.96,25.04,18.46,
147,ER,5.49,25.17,19.01,
148,ER,5.66,24.78,19.9,
149,ER,4.25,23.48,17.28,
150,ER,5.70,26.27,19.73,
151,ER,5.07,25.36,18.22,
152,ER,5.00,24.44,18.39,
153,ER,3.58,24.31,16.51,
154,ER,5.65,26.03,19.09,
155,ER,4.30,24.86,16.67,
156,ER,4.67,24.04,17.63,
157,ER,3.87,25.09,16.08,
158,ER,4.69,24.96,18.36,
159,ER,3.85,23.18,16.79,
160,ER,3.87,23.95,16.74,
161,ER,4.59,24.67,17.76,
162,ER,4.96,25.09,17.7,
163,ER,5.00,25.4,18.78,
164,ER,4.31,24.46,17.15,
165,ER,4.15,17.32,23.01,
166,ER,4.23,23.37,16.88,
167,ER,4.56,24.42,17.47,
168,ER,4.27,24.71,17.8,
169,ER,4.79,25.25,18.73,
170,ER,4.79,25.45,18.74,
171,ER,5.42,26.81,18.31,
172,ER,3.53,23.45,16.5,
173,ER,5.03,24.41,19.16,
174,ER,4.94,25.97,17.39,
175,ER,4.51,24.12,17.71,
176,ER,4.27,25.49,16.28,
177,ER,4.03,23.84,16.43,
178,ER,4.40,24.2,16.81,
179,ER,4.68,25.31,17.59,
180,ER,5.02,23.77,18.25,
181,ER,4.25,22.85,18.08,
182,ER,2.65,19.58,15.11,
183,ER,5.25,24.82,18.95,
184,ER,4.81,26.01,18.15,
185,ER,4.16,23.91,17.21,
186,ER,5.56,25.23,19.15,
187,ER,4.75,26.31,18.52,
188,ER,4.35,23.67,17.81,
189,ER,3.69,21.83,16.56,
190,ER,4.81,24.86,18.31,
191,ER,5.74,25.42,19.46,
192,ER,4.17,23.26,18,
193,ER,4.15,25.26,17.18,
194,ER,3.49,22.83,15.37,
195,ER,4.82,22.85,19.47,
196,ER,5.07,24.74,18.84,
197,ER,4.49,24.51,17.28,
198,ER,4.32,23.61,18.25,
199,ER,4.59,23.24,18.26,
200,ER,4.14,24.83,18.4,
201,ER,2.26,18.15,14.82,
202,ER,3.90,24.24,16.81,
203,ER,4.85,25.75,17.97,
204,ER,4.83,24.09,18.2,
205,ER,3.10,24.04,14.78,
206,ER,1.31,21.02,17.52,
207,ER,5.01,25.61,18.07,
208,ER,4.35,24.08,18.01,
209,ER,4.32,24.33,17.35,
210,ER,4.95,24.79,18.92,
211,ER,4.45,23.84,17.64,
212,ER,4.12,24.12,17.16,
213,ER,2.46,23.49,16.11,
214,ER,4.25,23.25,17.22,
215,ER,4.13,25.01,16.77,
216,ER,3.30,23.19,15.55,
217,ER,4.32,25.05,16.48,
218,ER,4.49,25.15,17.76,
219,ER,5.14,25.44,19.02,
220,ER,5.27,24.86,18.77,
221,ER,4.47,24.33,17.95,
222,ER,5.19,25.27,18.57,
223,ER,4.57,23.79,18.22,
224,ER,4.70,23.5,18.03,
